"Model","Time","SSP","Metric","Mean_days","Median_days","Mean_fraction","Median_fraction"
"INM-CM4-8","End","ssp245","SM_below",170.309073708783,112,0.222736634461218,0.14640522875817
"INM-CM4-8","End","ssp245","SM_above",78.9692820502035,66,0.103273015650973,0.0862745098039216
"INM-CM4-8","End","ssp245","SM_outside",249.278355758986,171,0.326009650112191,0.223529411764706
"INM-CM4-8","End","ssp245","Either_outside",304.569596904722,289,0.398301790641574,0.377777777777778
"INM-CM5-0","End","ssp245","VPD_below",13.6861027371242,0,0.0179005234261443,0
"INM-CM5-0","End","ssp245","VPD_above",45.5721962826665,31,0.0595863521612774,0.0405228758169935
"INM-CM5-0","End","ssp245","VPD_outside",59.2582990197907,35,0.0774868755874216,0.0457516339869281
"INM-CM5-0","End","ssp245","SM_below",176.59955142267,169,0.230882018483579,0.220915032679739
"INM-CM5-0","End","ssp245","SM_above",90.7501572130526,80,0.118652201010278,0.104575163398693
"INM-CM5-0","End","ssp245","SM_outside",267.349708635722,240,0.349534219493858,0.313725490196078
"INM-CM5-0","End","ssp245","Either_outside",291.445335463109,277,0.38103591009286,0.362091503267974
"IPSL-CM6A-LR","End","ssp245","VPD_below",2.02163322486967,0,0.00264417632923411,0
"IPSL-CM6A-LR","End","ssp245","VPD_above",13.1327062896074,3,0.0171688470783204,0.00392156862745098
"IPSL-CM6A-LR","End","ssp245","VPD_outside",15.1543395144771,3,0.0198130234075545,0.00392156862745098
"IPSL-CM6A-LR","End","ssp245","SM_below",91.9212050183497,49,0.120170842445818,0.0640522875816993
"IPSL-CM6A-LR","End","ssp245","SM_above",36.8693852401454,12,0.0482015744764292,0.0156862745098039
"IPSL-CM6A-LR","End","ssp245","SM_outside",128.790590258495,70,0.168372416922247,0.0915032679738562
"IPSL-CM6A-LR","End","ssp245","Either_outside",139.21782950027,91,0.18200535785717,0.118954248366013
"KACE-1-0-G","End","ssp245","VPD_below",77.3803166025047,63.5,0.101517960997697,0.0836601307189542
"KACE-1-0-G","End","ssp245","VPD_above",87.6509948217268,74,0.11490694581578,0.0967320261437909
"KACE-1-0-G","End","ssp245","VPD_outside",165.031311424231,138,0.216424906813477,0.181340654786573
"KACE-1-0-G","End","ssp245","SM_below",158.879960687563,133,0.208533905975087,0.173856209150327
"KACE-1-0-G","End","ssp245","SM_above",88.4690577561275,86,0.115955097150405,0.112418300653595
"KACE-1-0-G","End","ssp245","SM_outside",247.349018443691,221,0.324489003125492,0.288888888888889
"KACE-1-0-G","End","ssp245","Either_outside",327.559693070834,342,0.429500226376392,0.447058823529412
"MIROC6","End","ssp245","VPD_below",38.6297863171666,0,0.0505172621232387,0
"MIROC6","End","ssp245","VPD_above",60.3436607174797,8,0.0789049820361193,0.0104575163398693
"MIROC6","End","ssp245","VPD_outside",98.9734470346464,12,0.129422244159358,0.0156862745098039
"MIROC6","End","ssp245","SM_below",107.036727828818,46,0.139965565122213,0.0601307189542484
"MIROC6","End","ssp245","SM_above",35.3786336977285,7,0.0462549333434859,0.00915032679738562
"MIROC6","End","ssp245","SM_outside",142.415361526547,74,0.186220498465699,0.0967320261437909
"MIROC6","End","ssp245","Either_outside",191.954185093262,146,0.250993889351263,0.190849673202614
"MPI-ESM1-2-HR","End","ssp245","VPD_below",3.5089564223659,0,0.00460322977799991,0
"MPI-ESM1-2-HR","End","ssp245","VPD_above",31.2674835518138,11,0.0409631453802475,0.0143790849673203
